"Datum;Tid;Hemma;Borta;Ishall"
"10-jun;18:00;SHC A-lag;Vallentuna;Qyloq Arena"
"10-jun;19:00;U20 H;Väsby;Qyloq Arena"
"27-jun;20:00;U18H;Arlanda;Qyloq Arena"
"28-jun;21:00;U16;Wings;Qyloq Arena"
