Speldatum;Tid;Veckodag;Matchnr;Omgång;Hemma;Borta;Arena;Serie;Resultat;Publik;Information
2026-11-10;18:40;Tisdag;97032072;12;Sollentuna HC;AIK;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-11-12;19:00;Torsdag;97032066;11;AIK;Sollentuna HC;Ulriksdals IP Hall 3;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-11-21;12:40;Lördag;97032162;27;Sollentuna HC;Brynäs IF;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-11-22;12:10;Söndag;97032167;28;Sollentuna HC;Timrå IK;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-11-28;15:00;Lördag;97032173;29;Mora IK;Sollentuna HC;Wibe Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-11-29;11:00;Söndag;97032179;30;Leksands IF;Sollentuna HC;Tegera Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-12-02;19:00;Onsdag;97032205;35;Huddinge IK;Sollentuna HC;Björkängshallen;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-12-07;19:00;Måndag;97032212;36;Djurgårdens IF;Sollentuna HC;Hovet, Johanneshov;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-12-15;18:40;Tisdag;97032204;34;Sollentuna HC;AIK;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2026-12-17;19:00;Torsdag;97032198;33;AIK;Sollentuna HC;Ulriksdals IP Hall 3;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-05;13:00;Tisdag;97032125;21;IF Björklöven;Sollentuna HC;Visionite Arena ;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-06;12:00;Onsdag;97032132;22;MoDo Hockey;Sollentuna HC;Hägglunds Arena ;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-09;17:15;Lördag;97032053;9;Sollentuna HC;IF Björklöven;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-10;12:10;Söndag;97032060;10;Sollentuna HC;MoDo Hockey;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-16;17:15;Lördag;97032221;37;Sollentuna HC;Luleå HF;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-17;12:10;Söndag;97032227;38;Sollentuna HC;Skellefteå AIK;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-23;15:30;Lördag;97032149;25;Luleå HF;Sollentuna HC;Lulebohallen;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-24;12:00;Söndag;97032155;26;Skellefteå AIK;Sollentuna HC;Skellefteå Kraft Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-30;16:00;Lördag;97032186;31;MoDo Hockey;Sollentuna HC;Hägglunds Arena ;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-01-31;12:00;Söndag;97032191;32;IF Björklöven;Sollentuna HC;Visionite Arena ;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-02-06;12:00;Lördag;97032234;39;Brynäs IF;Sollentuna HC;Monitor ERP Arena (B);U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-02-07;11:00;Söndag;97032239;40;Timrå IK;Sollentuna HC;SCA Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-02-20;12:40;Lördag;97032245;41;Sollentuna HC;Mora IK;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-02-21;12:10;Söndag;97032251;42;Sollentuna HC;Leksands IF;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-02-26;19:00;Fredag;97032258;43;Sollentuna HC;MoDo Hockey;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
;;;;;;;;;;;
2027-02-27;12:40;Lördag;97032263;44;Sollentuna HC;IF Björklöven;CYLOQ Arena;U20 H - Nationell Norra [97032];;;
